순번,법령명,지역명,제정·개정구분,법령종류,공포번호,공포일자,시행일자,부서
179,영광군 사회적경제 육성 및 지원에 관한 조례,영광군,일부개정,조례,제2452호,2017. 12. 26.,2017. 12. 26.,인구일자리정책실(사회적경제담당)
180,영덕군 사회적경제 육성 및 지원에 관한 조례,영덕군,제정,조례,제2018호,2017. 12. 31.,2017. 12. 31.,새마을경제과
181,영암군 사회적경제 육성과 지원에 관한 조례,영암군,전부개정,조례,제2359호,2018. 8. 9.,2018. 8. 9.,일자리공동체팀
182,영양군 사회적경제 육성 및 지원에 관한 조례,영양군,제정,조례,제2305호,2021. 12. 17.,2021. 12. 17.,경제일자리과 인구일자리팀
183,영월군 사회적경제 육성 및 지원에 관한 조례,영월군,일부개정,조례,제2702호,2021. 7. 2.,2021. 7. 13.,경제고용과
184,영주시 사회적경제 육성 및 지원에 관한 조례,영주시,일부개정,조례,제1339호,2021. 5. 3.,2021. 5. 3.,
185,영천시 사회적경제 육성 및 지원에 관한 조례,영천시,일부개정,조례,제1092호,2021. 11. 8.,2021. 11. 8.,일자리노사과
186,예산군 사회적경제 육성 및 지원에 관한 조례,예산군,제정,조례,제2670호,2021. 5. 31.,2021. 5. 31.,산업건설국 경제과 일자리팀
187,예천군 사회적경제 육성 및 지원에 관한 조례,예천군,제정,조례,제2411호,2020. 10. 29.,2020. 10. 29.,새마을경제과
188,오산시 사회적경제 육성 및 지원 조례,오산시,일부개정,조례,제1952호,2021. 12. 23.,2022. 1. 24.,
189,오산시 사회적경제제품 구매촉진 및 판로지원에 관한 조례,오산시,일부개정,조례,제1971호,2022. 1. 13.,2022. 1. 13.,
190,옹진군 사회적경제 육성 및 지원에 관한 조례,옹진군,일부개정,조례,제2400호,2021. 11. 17.,2021. 11. 17.,
191,완도군 사회적경제 육성과 지원에 관한 조례,완도군,일부개정,조례,제2831호,2021. 12. 20.,2021. 12. 20.,
192,완주군 사회적경제 육성·지원에 관한 조례,완주군,일부개정,조례,제2896호,2021. 7. 1.,2021. 7. 1.,사회적경제과 소셜굿즈
193,완주군 사회적경제제품 구매촉진 및 판로지원에 관한 조례,완주군,일부개정,조례,제2666호,2019. 1. 3.,2019. 1. 28.,사회적경제과 소셜굿즈
194,용인시 사회적경제 육성 및 지원에 관한 조례,용인시,일부개정,조례,제2018호,2020. 5. 15.,2020. 5. 15.,지역경제과
195,울산광역시교육청 사회적경제 활성화 지원 조례,울산광역시교육청,제정,조례,제1992호,2019. 8. 1.,2019. 8. 1.,재정복지과
196,울산광역시 남구 사회적경제 육성지원에 관한 조례,남구,일부개정,조례,제1193호,2021. 9. 30.,2021. 9. 30.,소상공인진흥과
197,울산광역시 동구 사회적경제일자리센터 설치 및 운영 조례,동구,전부개정,조례,제1044호,2021. 6. 17.,2021. 6. 17.,일자리정책과
198,울산광역시 동구 사회적경제일자리센터 설치 및 운영 조례 시행규칙,동구,전부개정,규칙,제540호,2021. 9. 16.,2021. 9. 16.,일자리정책과
199,울산광역시 동구 사회적경제 활성화 및 지원에 관한 조례,동구,일부개정,조례,제958호,2019. 10. 31.,2019. 10. 31.,일자리정책과
200,울산광역시 북구 사회적경제 육성 및 지원에 관한 조례,북구,제정,조례,제1166호,2020. 12. 31.,2020. 12. 31.,경제일자리담당관
201,울산광역시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,울산광역시,일부개정,조례,제2244호,2020. 10. 29.,2021. 1. 1.,사회혁신담당관
202,울산광역시 사회적경제 육성 및 지원에 관한 조례,울산광역시,일부개정,조례,제2511호,2021. 12. 29.,2022. 1. 13.,
203,울산광역시 울주군 사회적경제 육성 및 지원에 관한 조례,울주군,일부개정,조례,제1264호,2020. 12. 31.,2020. 12. 31.,일자리정책과
204,울산광역시 중구 사회적경제 육성 및 지원에 관한 조례,중구,일부개정,조례,제1042호,2020. 8. 3.,2020. 8. 3.,일자리기업과
205,울진군 사회적경제 육성 및 지원에 관한 조례,울진군,일부개정,조례,제2471호,2020. 7. 20.,2020. 7. 20.,일자리지원팀
206,원주시 사회적경제 기본 조례,원주시,일부개정,조례,제2055호,2021. 12. 31.,2021. 12. 31.,
207,의령군 사회적경제 육성 및 지원에 관한 조례,의령군,제정,조례,제2447호,2020. 12. 16.,2020. 12. 16.,일자리경제과 일자리경제담당
208,의성군 사회적경제 활성화 조례,의성군,제정,조례,제2785호,2021. 7. 15.,2021. 7. 15.,일자리창출과
209,의왕시 사회적경제 육성 및 지원에 관한 조례,의왕시,일부개정,조례,제1723호,2019. 11. 28.,2019. 11. 28.,기업지원과
210,의정부시 살기 좋은 마을 만들기 및 사회적경제 육성 지원에 관한 조례,의정부시,일부개정,조례,제3184호,2022. 2. 9.,2022. 2. 9.,
211,이천시 사회적경제 육성 지원에 관한 조례,이천시,일부개정,조례,제1569호,2019. 12. 27.,2019. 12. 27.,교육청소년과
212,익산시 사회적경제 육성 및 지원 조례,익산시,일부개정,조례,제2156호,2021. 9. 27.,2021. 9. 27.,일자리정책과
213,인제군 사회적경제 육성 및 지원에 관한 조례,인제군,전부개정,조례,제2540호,2020. 12. 31.,2020. 12. 31.,경제협력과
214,인천광역시 계양구 마을만들기 및 사회적경제 육성 지원에 관한 조례,계양구,일부개정,조례,제1365호,2021. 9. 24.,2021. 9. 24.,일자리정책과
215,인천광역시 동구 사회적경제 육성 및 지원에 관한 조례,동구,일부개정,조례,제1234호,2020. 5. 22.,2020. 5. 22.,일자리경제과
216,인천광역시 미추홀구 사회적경제 육성지원에 관한 조례,미추홀구,일부개정,조례,제1716호,2022. 1. 10.,2022. 1. 10.,
217,인천광역시 미추홀구 사회적경제 육성지원에 관한 조례 시행규칙,미추홀구,일부개정,규칙,제899호,2018. 4. 30.,2018. 7. 1.,일자리정책과
