순번,법령명,지역명,제정·개정구분,법령종류,공포번호,공포일자,시행일자,부서
19,경기도교육청 다양한 가족형태에 대한 사회적 인식개선 교육 조례,경기도교육청,제정,조례,제7054호,2021. 7. 14.,2021. 7. 14.,민주시민교육과
20,경기도교육청 사회적경제 교육 활성화 조례,경기도교육청,제정,조례,제7163호,2021. 10. 6.,2021. 10. 6.,학부모시민협력과
21,경기도교육청 사회적기업 등의 제품 구매촉진에 관한 조례,경기도교육청,일부개정,조례,제7059호,2021. 7. 14.,2021. 7. 14.,재무기획관
22,경기도 사회적 가치 활성화 기본 조례,경기도,제정,조례,제7139호,2021. 8. 10.,2021. 8. 10.,규제개혁담당관
23,경기도 사회적경제기금 설치 및 운영 조례,경기도,일부개정,조례,제6838호,2020. 12. 31.,2020. 12. 31.,
24,경기도 사회적경제 육성 지원에 관한 조례,경기도,일부개정,조례,제6370호,2019. 11. 12.,2019. 11. 12.,
25,경기도 사회적경제 육성 지원에 관한 조례 시행규칙,경기도,일부개정,규칙,제3927호,2020. 8. 10.,2020. 8. 10.,사회적경제과
26,경기도 사회적일자리 조례,경기도,일부개정,조례,제6325호,2019. 10. 1.,2019. 10. 1.,복지사업과
27,경기도 정신질환자의 사회적응 지원에 관한 조례,경기도,제정,조례,제5638호,2017. 7. 17.,2017. 7. 17.,정신건강과
28,경산시 사회적경제 육성 및 지원에 관한 조례,경산시,일부개정,조례,제1173호,2019. 12. 12.,2019. 12. 12.,일자리경제과
29,경상남도교육청 사회적경제기업 제품 구매촉진에 관한 조례,경상남도교육청,제정,조례,제4793호,2020. 6. 4.,2020. 6. 4.,재정과
30,경상남도 사회적경제기금 설치 및 운용 조례,경상남도,제정,조례,제4819호,2020. 6. 25.,2020. 6. 25.,사회적경제추진단
31,경상남도 사회적경제기업 제품 구매촉진 및 판로개척 지원에 관한 조례,경상남도,제정,조례,제4731호,2020. 2. 6.,2020. 2. 6.,사회적경제추진단
32,경상남도 사회적경제 육성 및 지원에 관한 조례,경상남도,일부개정,조례,제5010호,2021. 8. 5.,2021. 8. 5.,사회적경제추진단
33,경상남도 사회적기업 육성에 관한 조례 시행규칙,경상남도,제정,규칙,제2942호,2011. 1. 6.,2011. 1. 6.,사회적경제추진단
34,경상남도 사회적일자리 조례,경상남도,제정,조례,제4637호,2019. 9. 26.,2019. 9. 26.,일자리경제국 일자리경제과
35,경상북도 고독사 예방 및 사회적 고립가구 지원 조례,경상북도,제정,조례,제4446호,2021. 1. 4.,2021. 4. 1.,
36,경상북도교육청 사회적경제기업 제품 구매촉진에 관한 조례,경상북도교육청,일부개정,조례,제4275호,2019. 12. 26.,2019. 12. 26.,재무정보과
37,경상북도 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,경상북도,제정,조례,제4473호,2021. 4. 1.,2021. 4. 1.,
38,경상북도 사회적경제 육성 및 지원에 관한 조례,경상북도,일부개정,조례,제4473호,2021. 4. 1.,2021. 4. 1.,
39,경상북도 사회적경제 육성 및 지원에 관한 조례 시행규칙,경상북도,제정,규칙,제2891호,2018. 3. 8.,2018. 3. 8.,
40,경상북도 사회적농업 육성 및 지원 조례,경상북도,제정,조례,제4482호,2021. 4. 1.,2021. 4. 1.,
41,경주시 사회적경제 육성 및 지원에 관한 조례,경주시,전부개정,조례,제1551호,2021. 9. 23.,2021. 9. 23.,일자리창출과
42,계룡시 사회적기업 육성·지원에 관한 조례,계룡시,제정,조례,제372호,2012. 6. 12.,2012. 6. 12.,일자리경제과
43,고령군 사회적기업 육성에 관한 조례,고령군,일부개정,조례,제2256호,2019. 3. 29.,2019. 3. 29.,일자리공동체
44,고성군 사회적경제 육성 및 지원에 관한 조례,고성군,일부개정,조례,제2643호,2021. 6. 4.,2021. 6. 4.,군정혁신담당관
45,고성군 사회적기업 등 육성 및 지원에 관한 조례,고성군,일부개정,조례,제2590호,2021. 12. 17.,2021. 12. 17.,경제투자과
46,고양시 고독사 예방 및 사회적 고립가구 지원을 위한 조례,고양시,일부개정,조례,제2468호,2021. 10. 1.,2021. 10. 1.,복지정책과
47,고양시 사회적경제 기업 제품구매 촉진 및 판로지원에 관한 조례,고양시,제정,조례,제1917호,2017. 11. 14.,2017. 11. 14.,소상공인지원과
48,고양시 사회적경제 육성 및 지원에 관한 조례,고양시,일부개정,조례,제2213호,2020. 1. 7.,2020. 1. 7.,소상공인지원과
49,고창군 사회적경제 활성화 기본조례,고창군,제정,조례,제2513호,2020. 7. 15.,2020. 7. 15.,농어촌식품과
50,고창군 사회적기업 육성지원 조례,고창군,일부개정,조례,제2426호,2019. 3. 25.,2019. 3. 25.,농어촌식품과
51,고흥군 사회적경제 육성 및 지원에 관한 조례,고흥군,일부개정,조례,제2876호,2021. 12. 6.,2021. 12. 6.,인구정책과
52,곡성군 사회적경제 육성과 지원에 관한 조례,곡성군,일부개정,조례,제2312호,2019. 12. 27.,2019. 12. 27.,인구정책과
53,공주시 고독사 예방 및 사회적 고립가구 안전망 확충을 위한 지원 조례,공주시,제정,조례,제1205호,2018. 12. 7.,2018. 12. 7.,복지정책과
54,공주시 사회적경제 육성 및 지원에 관한 조례,공주시,일부개정,조례,제1515호,2022. 2. 28.,2022. 2. 28.,
55,과천시 사회적경제 육성 및 지원에 관한 조례,과천시,일부개정,조례,제1747호,2021. 4. 28.,2021. 4. 28.,경제복지국 일자리경제과
56,광명시 사회적경제제품 구매촉진 및 판로지원에 관한 조례,광명시,일부개정,조례,제2846호,2022. 3. 2.,2022. 3. 2.,
57,광명시 사회적기업 육성 및 지원에 관한 조례,광명시,일부개정,조례,제2372호,2018. 7. 31.,2018. 7. 31.,사회적경제과
58,광양시 사회적경제 육성 및 지원에 관한 조례,광양시,일부개정,조례,제1766호,2020. 11. 11.,2020. 11. 11.,투자일자리과
59,광양시 사회적 고립 1인 가구 고독사 예방 및 지원에 관한 조례,광양시,일부개정,조례,제1766호,2020. 11. 11.,2020. 11. 11.,노인장애인과
60,광주광역시 공공기관의 사회적 가치 실현에 관한 기본 조례,광주광역시,제정,조례,제5348호,2019. 12. 15.,2020. 6. 15.,
61,광주광역시 광산구 1인 가구 사회적 고립 및 고독사 예방 조례,광산구,제정,조례,제1642호,2021. 10. 1.,2021. 10. 1.,복지정책과
